acronym	expansion
ПДВ	податок на додану вартість
ЄДРПОУ	єдиний державний реєстр підприємств та організацій України
ФОП	фізична особа підприємець
ТОВ	товариство з обмеженою відповідальністю
АТ	акціонерне товариство
ОСББ	об'єднання співвласників багатоквартирного будинку
ЗСУ	збройні сили України
СБУ	служба безпеки України
МВС	міністерство внутрішніх справ
ДСНС	державна служба України з надзвичайних ситуацій
НПУ	національна поліція України
ДБР	державне бюро розслідувань
НАБУ	національне антикорупційне бюро України
САП	спеціалізована антикорупційна прокуратура
НАЗК	національне агентство з питань запобігання корупції
НБУ	національний банк України
КМУ	кабінет міністрів України
ВРУ	верховна рада України
ЦВК	центральна виборча комісія
МОН	міністерство освіти і науки України
МОЗ	міністерство охорони здоров'я України
ДПС	державна податкова служба України
ЄС	європейський союз
УЗ	українська залізниця
ОВА	обласна військова адміністрація
РДА	районна державна адміністрація
