latin	cyrillic
google	гугл
python	пайтон
ios	айос
iphone	айфон
windows	віндовс
microsoft	майкрософт
apple	епл
facebook	фейсбук
youtube	ютуб
twitter	твітер
instagram	інстаграм
telegram	телеграм
whatsapp	вотсап
skype	скайп
android	андроїд
samsung	самсунг
linux	лінукс
internet	інтернет
online	онлайн
email	імейл
ok	окей
openai	опеней
chatgpt	чатджипіті
github	гітхаб
gitlab	гітлаб
macbook	макбук
ipad	айпад
airpods	еірподс
gmail	джимейл
zoom	зум
slack	слак
docker	докер
kubernetes	кубернетіс
react	ріакт
node	ноуд
javascript	джаваскрипт
typescript	тайпскрипт
