key	one	few	many	gender
користувач	користувач	користувачі	користувачів	m
користувачі	користувач	користувачі	користувачів	m
користувачів	користувач	користувачі	користувачів	m
документ	документ	документи	документів	m
документи	документ	документи	документів	m
документів	документ	документи	документів	m
файл	файл	файли	файлів	m
файли	файл	файли	файлів	m
файлів	файл	файли	файлів	m
товар	товар	товари	товарів	m
товари	товар	товари	товарів	m
товарів	товар	товари	товарів	m
учасник	учасник	учасники	учасників	m
учасники	учасник	учасники	учасників	m
учасників	учасник	учасники	учасників	m
день	день	дні	днів	m
дні	день	дні	днів	m
днів	день	дні	днів	m
тиждень	тиждень	тижні	тижнів	m
тижні	тиждень	тижні	тижнів	m
тижнів	тиждень	тижні	тижнів	m
місяць	місяць	місяці	місяців	m
місяці	місяць	місяці	місяців	m
місяців	місяць	місяці	місяців	m
заявка	заявка	заявки	заявок	f
заявки	заявка	заявки	заявок	f
заявок	заявка	заявки	заявок	f
спроба	спроба	спроби	спроб	f
спроби	спроба	спроби	спроб	f
спроб	спроба	спроби	спроб	f
людина	людина	людини	людей	f
людини	людина	людини	людей	f
людей	людина	людини	людей	f
особа	особа	особи	осіб	f
особи	особа	особи	осіб	f
осіб	особа	особи	осіб	f
дитина	дитина	дитини	дітей	f
дитини	дитина	дитини	дітей	f
дітей	дитина	дитини	дітей	f
місто	місто	міста	міст	n
міста	місто	міста	міст	n
міст	місто	міста	міст	n
село	село	села	сіл	n
села	село	села	сіл	n
сіл	село	села	сіл	n
питання	питання	питання	питань	n
питань	питання	питання	питань	n
