key	one	few	many	gender
км	кілометр	кілометри	кілометрів	m
м	метр	метри	метрів	m
см	сантиметр	сантиметри	сантиметрів	m
мм	міліметр	міліметри	міліметрів	m
дм	дециметр	дециметри	дециметрів	m
кг	кілограм	кілограми	кілограмів	m
мг	міліграм	міліграми	міліграмів	m
л	літр	літри	літрів	m
мл	мілілітр	мілілітри	мілілітрів	m
год	година	години	годин	f
хв	хвилина	хвилини	хвилин	f
с	секунда	секунди	секунд	f
га	гектар	гектари	гектарів	m
м²	квадратний метр	квадратні метри	квадратних метрів	m
м2	квадратний метр	квадратні метри	квадратних метрів	m
км²	квадратний кілометр	квадратні кілометри	квадратних кілометрів	m
км2	квадратний кілометр	квадратні кілометри	квадратних кілометрів	m
м³	кубічний метр	кубічні метри	кубічних метрів	m
м3	кубічний метр	кубічні метри	кубічних метрів	m
км/год	кілометр на годину	кілометри на годину	кілометрів на годину	m
м/с	метр за секунду	метри за секунду	метрів за секунду	m
Гц	герц	герци	герц	m
кГц	кілогерц	кілогерци	кілогерц	m
МГц	мегагерц	мегагерци	мегагерц	m
ГГц	гігагерц	гігагерци	гігагерц	m
Вт	ват	вати	ват	m
кВт	кіловат	кіловати	кіловат	m
МВт	мегават	мегавати	мегават	m
В	вольт	вольти	вольт	m
А	ампер	ампери	ампер	m
Ом	ом	оми	ом	m
байт	байт	байти	байт	m
КБ	кілобайт	кілобайти	кілобайт	m
МБ	мегабайт	мегабайти	мегабайт	m
ГБ	гігабайт	гігабайти	гігабайт	m
°	градус	градуси	градусів	m
т	тонна	тонни	тонн	f
хв.	хвилина	хвилини	хвилин	f
год.	година	години	годин	f
